LUX,"Temperature
(Celsius)","Humidity
(in %)",Moisture,a,b,c,e,y,Y,
27390,35,50,948,10.2179332622571,4.89279003035213,0.5,93.5705588089855,663.093828787254,-22070.6559039166,0
13266,17,46,912,9.4929596500855,2.55875496314384,0.46,91.2971401647882,519.180024250225,-21603.0525374604,0
21618,30,28,107,9.98128157997615,4.51544993495972,0.28,22.421364849,1034.4508950415,2408.33764582568,1
26751,34,28,303,10.194327134803,5.11750992628768,0.28,44.8572108455221,947.80334414571,-1877.24293852392,1
19243,38,55,94,9.86490263722056,5.71956991761564,0.55,20.5300756568676,1011.39777505519,2477.77349799006,1
17152,27,44,159,9.74987006387053,4.29409129247696,0.44,29.2771932234279,940.171888052876,1080.70308812548,1
18041,22,35,550,9.8004022244528,3.31132995230379,0.35,66.0626734379902,737.030584790949,-9360.3711088192,0
16562,24,44,912,9.71486619359364,3.61235994796777,0.44,91.2971401647882,563.966501236607,-21376.9543801513,0
28598,21,43,64,10.2610920642928,3.33984878303764,0.43,15.7617499584421,1149.73053177383,3542.98480374643,1
24945,20,39,517,10.1244286802951,3.01029995663981,0.39,63.4801155516643,831.886180178759,-7965.02880704666,1
5710,22,23,56,8.64997430265006,3.31132995230379,0.23,14.3639631947518,792.272906355743,1937.02329304933,0
4500,31,39,1020,8.41183267575841,4.66596493279171,0.39,98.0189180944187,233.77784941622,-26507.4374163868,0
25338,26,29,937,10.140060524162,3.91338994363176,0.29,92.8795243833394,653.672443242195,-21755.2402582915,1
30155,17,32,176,10.3141060258851,2.55875496314384,0.32,31.3315533169654,1073.86754767774,1424.35272393912,1
14788,34,53,888,9.60157132005652,5.11750992628768,0.53,89.7621005653607,538.064398819693,-20709.3078785281,0
17449,21,38,181,9.76703761939823,3.33984878303764,0.38,31.9217098232037,933.930934667435,636.601103135698,1
9681,35,32,917,9.17792048072007,4.89279003035213,0.32,91.614953879899,432.404228743544,-22159.2350547182,0
12972,27,27,333,9.47054846742721,4.29409129247696,0.27,47.7143224192502,764.784977016292,-3487.5116810535,1
4751,24,23,654,8.46611040118692,3.61235994796777,0.23,73.8377700174622,395.859524108444,-13967.9086669958,0
26526,19,54,657,10.1858806630543,2.85978495880782,0.54,74.0546867463619,784.619148352784,-12249.3047172516,0
26747,33,21,860,10.1941775965022,5.24833380191629,0.21,87.9506905045432,688.280936589572,-19050.9958094685,0
14650,18,27,850,9.59219561444521,2.70926996097583,0.27,87.2982260815039,564.617624214505,-19354.568373419,0
24655,22,55,629,10.1127349986582,3.31132995230379,0.55,72.0149861600851,776.351013162704,-11454.2540820128,1
23048,22,30,812,10.0453342767644,3.31132995230379,0.3,84.7912104803582,682.889646187281,-17546.8047139336,0
6925,33,50,834,8.84289333105554,5.24833380191629,0.5,86.2480517664457,390.382836162947,-19632.6218063843,0
12135,25,37,269,9.4038491181607,3.49485002168009,0.37,41.4873460078615,792.035362668332,-1873.68569794176,0
11524,37,40,919,9.35218709620442,5.56905491978365,0.4,91.7418905443645,466.495169004061,-22070.7101063078,1
9149,26,46,606,9.12139986267954,3.91338994363176,0.46,70.3132573377742,553.959341770248,-11841.9952155642,0
31852,24,40,295,10.3688554533773,3.61235994796777,0.4,44.0776191366579,1004.81808644863,-1408.3431563896,1
4261,25,43,781,8.35725915349991,3.49485002168009,0.43,82.7121473546612,321.743382447049,-18225.5446925208,0
20025,21,38,511,9.90473677193656,3.33984878303764,0.38,63.0038647722899,779.943444924262,-8055.01062026391,0
26400,25,44,375,10.1811192891344,3.49485002168009,0.44,51.5563695235965,914.434962483355,-3789.32262890285,1
20350,27,28,453,9.92083619087074,4.29409129247696,0.28,58.2843038551742,806.165517827181,-6340.66601409466,1
22294,26,45,685,10.0120728629496,3.91338994363176,0.45,76.0611731440091,723.951857630296,-13387.142609621,1
21717,25,33,411,9.98585064296125,3.49485002168009,0.33,54.7216119462706,847.967784954651,-5036.85268727778,1
22001,30,54,664,9.99884318585288,4.51544993495972,0.54,74.5593477548705,726.353594524338,-12739.553293637,0
6386,22,26,577,8.76186337327473,3.31132995230379,0.26,68.1318048076392,493.104188703541,-11268.0538386624,0
14984,19,22,802,9.61473824412392,2.85978495880782,0.22,84.123959344227,587.855832218021,-17699.7399622675,1
31456,27,51,393,10.3563450229469,4.29409129247696,0.51,53.1527204964357,943.385716078328,-4087.65981072462,1
19325,33,56,529,9.86915487345562,5.24833380191629,0.56,64.4263266237892,751.874652440801,-8689.54476849922,0
32957,35,54,239,10.4029589604634,4.89279003035213,0.54,38.3791643674333,1040.10693521032,12.8902312773475,1
24492,27,39,58,10.1061018125978,4.29409129247696,0.39,14.7196365617125,1112.29715903397,3423.50920266744,1
11553,28,52,932,9.35470042248302,4.21441993929574,0.52,92.5643746137363,470.492272614656,-22482.9688975973,0
14591,24,32,819,9.58816017926402,3.61235994796777,0.32,85.256392508045,570.621272742614,-18319.1361759337,0
4275,18,25,251,8.36053938137086,2.70926996097583,0.25,39.6389575080275,585.194060155417,-2398.13816916793,0
23203,28,43,132,10.0520368596394,4.21441993929574,0.43,25.8402505549319,1033.05331736522,2006.51498286831,1
24816,28,30,368,10.1192438854163,4.21441993929574,0.3,50.9277728376116,898.536005088978,-3689.30240770272,1
28577,31,34,297,10.2603574774648,4.66596493279171,0.34,44.2732526944643,970.343921020878,-1624.92690943481,1
17175,36,29,817,9.75121011709055,5.41853992195166,0.29,85.1236411710256,598.360098413926,-18117.2823708869,0
7751,17,32,344,8.95557714628151,2.55875496314384,0.32,48.7374209977925,655.291288510378,-4272.51413578855,0
15504,29,53,875,9.64885333413055,4.36493493712773,0.53,88.9238907738882,558.531493696651,-20186.0048345717,0
6724,37,56,474,8.81343849452851,5.56905491978365,0.56,60.0183230374227,539.716109418806,-8160.93161423384,0
28015,35,51,739,10.2404953599994,4.89279003035213,0.51,79.8436403525782,751.014360320449,-14900.9881638179,0
21963,32,50,696,9.99711449831475,4.8164799306237,0.5,76.8407527246501,710.364183577337,-13786.3108776228,0
7419,22,22,151,8.91179955618953,3.31132995230379,0.22,28.2827325288961,763.9176810692,398.521394371759,0
19655,20,37,542,9.88608703785596,3.01029995663981,0.37,65.4421717195083,762.841772983875,-9010.22666321582,0
21072,17,56,233,9.95570042398306,2.55875496314384,0.56,37.740458766094,948.716368809731,-345.279109181302,1
7198,28,47,923,8.88155848863898,4.21441993929574,0.47,91.995441933257,370.265803010065,-22640.1638446843,0
9140,24,53,159,9.1204156644482,3.61235994796777,0.53,29.2771932234279,801.906463679371,424.288340295116,0
10735,22,34,756,9.28126471031288,3.31132995230379,0.34,81.0121083277568,528.441865794427,-16523.6420412128,0
15072,25,49,347,9.62059399681614,3.49485002168009,0.49,49.014298129134,796.595057314012,-3681.83788761779,0
22395,22,50,87,10.0165929986414,3.31132995230379,0.5,19.4729454335722,1068.27997128993,2849.71312622048,1
13190,36,37,211,9.48721424571136,5.41853992195166,0.37,35.3442920311087,836.249818009981,-419.93010624501,1
5435,34,48,905,8.60061479955531,5.11750992628768,0.48,90.8510601296818,312.795478828141,-22295.3120176885,0
31031,22,33,686,10.3427419838004,3.31132995230379,0.33,76.132242534838,807.666305998758,-12995.5927992159,0
13630,25,33,253,9.52002852469058,3.49485002168009,0.33,39.8467211720568,828.181890168646,-1348.57993997067,1
19730,26,21,416,9.88989559901666,3.91338994363176,0.21,55.1527623092572,819.743505996055,-5302.05719643653,0
4890,24,44,926,8.49494758246892,3.61235994796777,0.44,92.1853250219915,292.063503326979,-23081.2341241809,0
20580,38,56,318,9.93207500938804,5.71956991761564,0.56,46.2984359387019,872.76533276742,-2609.4199370206,1
10712,26,26,601,9.27911988737101,3.91338994363176,0.26,69.9400529129802,590.624133470778,-11524.9036994048,0
6414,22,36,445,8.7662383802531,3.31132995230379,0.36,57.6157105256414,557.320981205399,-7296.84120037349,0
18291,36,34,747,9.81416441457593,5.41853992195166,0.34,80.3947878920852,641.613910991721,-15696.8160752564,0
19782,38,54,1015,9.89252771229979,5.71956991761564,0.54,97.7140469735814,554.82355311625,-24869.5394434642,0
18069,29,32,534,9.80195304171183,4.36493493712773,0.32,64.8181543516958,738.480865450144,-8894.21568158487,0
6935,19,35,89,8.84433633274893,2.85978495880782,0.35,19.7779878019416,803.540785436897,1569.37778041178,0
14526,35,45,349,9.58369542616611,4.89279003035213,0.45,49.1983816288467,778.519586303014,-3812.11489450068,0
28148,22,36,931,10.2452315830864,3.31132995230379,0.36,92.501265773377,685.421667938768,-21400.664112498,0
7984,26,46,678,8.9851948179913,3.91338994363176,0.46,75.5625624565073,492.868996606258,-14273.201774538,0
20791,29,44,626,9.94227547974339,4.36493493712773,0.44,71.7943946976258,730.110122772759,-11589.140040271,0
7848,33,50,766,8.9680140012452,5.24833380191629,0.5,81.6946958559134,444.445123571381,-17219.4350425047,0
15564,19,41,114,9.65271583410444,2.85978495880782,0.41,23.4053301268188,961.328385173887,1929.76877226124,1
20572,26,35,354,9.93168620689481,3.91338994363176,0.35,49.65685834863,862.939201193125,-3524.64991974751,1
26444,29,25,455,10.1827845684535,4.36493493712773,0.25,58.4507483434534,867.87511912693,-6083.19028331043,1
32107,18,40,385,10.3768293538804,2.70926996097583,0.4,52.4467229762667,962.007091651192,-3804.38737630356,1
7239,38,44,251,8.88723835429314,5.71956991761564,0.44,39.6389575080275,676.52490223837,-2003.92451148242,0
18061,37,50,224,9.80151019642366,5.56905491978365,0.5,36.7708166907889,899.795995903728,-382.563259023856,1
16025,34,32,359,9.68190528178887,5.11750992628768,0.32,50.112898133081,794.129030270163,-3982.07229801117,0
10314,30,37,676,9.2412574746109,4.51544993495972,0.37,75.4197382633458,545.938947354789,-13968.597130172,0
17490,29,41,766,9.76938456801265,4.36493493712773,0.41,81.6946958559134,629.752713294438,-16349.4654247975,0
15304,35,31,456,9.63586951112009,4.89279003035213,0.31,58.5338661597641,734.259837683307,-6771.60133249637,0
18044,34,29,224,9.80056849852829,5.11750992628768,0.29,36.7708166907889,901.863755029681,-369.338282667927,1
11594,23,26,959,9.35824300189968,3.46184495013578,0.26,94.2584781528672,465.118606373234,-23411.6110105543,0
13871,25,30,931,9.53755560876329,3.49485002168009,0.3,92.501265773377,516.202909112683,-22235.6707145775,0
25065,37,31,750,10.1292277296976,5.56905491978365,0.31,80.6008793094665,714.815447425397,-15425.3663697923,0
22976,22,47,427,10.042205471848,3.31132995230379,0.47,56.0944316897478,854.656119013457,-5421.56899478361,1
32465,26,32,824,10.3879178649426,3.91338994363176,0.32,85.5877221579555,758.539378216,-17537.8234488507,0
4746,37,39,303,8.46505743699571,5.56905491978365,0.39,44.8572108455221,558.108774347802,-3703.06994516301,0
14160,24,26,259,9.55817636724771,3.61235994796777,0.26,40.4663697128053,832.352447644313,-1458.76944123635,1
17939,20,36,937,9.79473239269909,3.01029995663981,0.36,92.8795243833394,576.622445695191,-22148.1738160317,0
20191,23,48,353,9.91299223955037,3.46184495013578,0.48,49.5653594403978,862.005755353429,-3509.40078595491,1
5043,25,38,846,8.52575642207673,3.49485002168009,0.38,87.0364068745651,329.83472944552,-20283.6073425252,0
17909,26,48,739,9.79305865876674,3.91338994363176,0.48,79.8436403525782,649.265792951295,-15413.9602688618,0
5956,22,33,1010,8.6921543938039,3.31132995230379,0.33,97.4085893803396,302.983060072833,-25871.1932563002,0
11854,17,29,416,9.38042064234778,2.55875496314384,0.29,55.1527623092572,710.218393494206,-5843.42032441683,0
18593,20,33,608,9.83054044478006,3.01029995663981,0.33,70.4622077011351,719.499259290829,-11121.7699063708,0
20990,37,30,311,9.95180141281468,5.56905491978365,0.3,45.6291162202956,881.871189480728,-2396.5618392813,1
19911,22,26,711,9.89902762181404,3.31132995230379,0.26,77.8961980639051,689.163806191995,-14356.2276577005,0
4337,20,55,166,8.37493814383537,3.01029995663981,0.55,30.1324106951542,643.91880304606,-401.110866067203,0
5644,29,44,827,8.6383483129727,4.36493493712773,0.44,85.7861457680746,355.426254683646,-19556.3419027228,1
17709,25,31,110,9.7818282639088,3.49485002168009,0.31,22.8458223403344,990.785936043174,2141.52362127736,1
28879,22,41,606,10.2708699663685,3.31132995230379,0.41,70.3132573377742,824.961714652138,-10530.661170718,0
7522,31,31,773,8.92558733903028,4.66596493279171,0.31,82.1704571600131,435.594779603063,-17476.9024081815,0
4652,25,33,302,8.44505251363855,3.49485002168009,0.33,44.7601878128254,566.956716490321,-3637.78844233301,0
25545,38,39,54,10.1481968817649,5.71956991761564,0.39,14.0038175809172,1118.27047442156,3494.17569435021,1
25768,29,30,385,10.156888691011,4.36493493712773,0.3,52.4467229762667,897.678707098679,-4117.80866061513,1
24126,32,55,600,10.0910453761253,4.8164799306237,0.55,69.865269145812,774.959866937623,-10602.5082538092,1
15662,22,41,590,9.65899267531088,3.31132995230379,0.41,69.1147802176888,685.817013000555,-10758.6982394502,0
28888,36,45,854,10.2711815629573,5.41853992195166,0.45,87.5595675215478,708.997403729811,-18753.5904398183,0
8953,33,54,500,9.09974395063416,5.24833380191629,0.54,62.1251525070156,590.503161751645,-8646.91757936545,0
8487,38,38,148,9.04629085996968,5.71956991761564,0.38,27.9048707834176,781.037895671852,527.185059343069,0
12245,29,38,601,9.41287296938627,4.36493493712773,0.38,69.9400529129802,618.156203352985,-11395.8424075301,1
31558,17,26,255,10.3595824015956,2.55875496314384,0.26,40.0538735166645,1032.69559954654,-385.311634307894,1
19573,33,33,645,9.88190634450252,5.24833380191629,0.33,73.1847093867253,701.88661688638,-12290.5766281572,1
26004,28,31,336,10.1660056513244,4.21441993929574,0.31,47.9945956016697,927.537957587323,-2761.09950138296,1
4642,19,45,737,8.44290058683438,2.85978495880782,0.45,79.7054937196602,360.899171759212,-16675.9031782012,0
15991,21,23,286,9.67978134295944,3.33984878303764,0.23,43.1910410238811,845.652663328555,-2001.89787458047,1
9171,26,23,945,9.12380161055894,3.91338994363176,0.23,93.3824058812068,415.610294997024,-23168.7140930396,0
12358,17,37,979,9.42205890562093,2.55875496314384,0.37,95.5014171366333,477.681295653225,-24035.2863765051,1
25170,22,29,101,10.1334080881294,3.31132995230379,0.29,21.5593629361003,1083.58735643637,2735.00592056024,1
5573,18,54,407,8.62568878756954,2.70926996097583,0.54,54.3752575941705,551.402919389157,-6324.64326280341,0
25106,22,35,753,10.1308621403782,3.31132995230379,0.35,80.8066522146851,727.604519486247,-15462.8188241622,1
10361,32,46,987,9.24580403625175,4.8164799306237,0.46,95.9958173845795,421.864923430011,-24553.4684545625,0
9206,22,48,205,9.12761072437719,3.31132995230379,0.48,34.6749544486298,772.801624023584,-597.917054128862,0
32474,20,31,376,10.3881950481471,3.01029995663981,0.31,51.6458055804427,967.65852307768,-3544.80581759516,1
21184,30,22,119,9.96100145873674,4.51544993495972,0.22,24.0948449621991,1019.43683134851,2150.57989397857,1
20755,34,39,585,9.94054246048714,5.11750992628768,0.39,68.7377059808475,743.421317462162,-10323.9569583771,0
6465,35,22,658,8.77415829120596,4.89279003035213,0.22,74.1269075165288,450.152059348374,-13854.220769874,0
12811,36,36,738,9.45805945585643,5.41853992195166,0.36,79.774585122516,563.019913779377,-15795.626796415,0
21911,24,33,484,9.99474407280768,3.61235994796777,0.33,60.8337340512978,812.722344975498,-7147.57192729221,0
24151,24,29,872,10.0920810660909,3.61235994796777,0.29,88.7297723116945,668.728409376632,-19546.4629436065,1
5090,35,48,723,8.53503310954457,4.89279003035213,0.48,78.734378265277,373.35847239849,-16181.8956808262,1
32341,35,48,408,10.3840910541125,4.89279003035213,0.48,54.4619667345081,938.78362365203,-4491.06621356652,1
11872,37,29,928,9.38193796540716,5.56905491978365,0.29,92.3117807873313,469.544105598289,-22354.132395029,0
26426,21,49,164,10.1821036529742,3.33984878303764,0.49,29.8894347549274,1045.70711637114,1509.16934832865,1
31717,19,22,801,10.3646080937225,2.85978495880782,0.22,84.0570574052298,768.04015705327,-16767.5771263703,0
10185,34,40,531,9.22867132866091,5.11750992628768,0.4,64.5832269851305,604.616072440866,-9447.42260382719,0
17480,19,34,160,9.76881264920953,2.85978495880782,0.34,29.4001993193105,952.276501235563,1111.40479428584,1
23574,37,54,651,10.0678996887865,5.56905491978365,0.54,73.6204698152015,742.294101311697,-12270.6381226893,1
19245,33,42,1015,9.86500656571785,5.24833380191629,0.42,97.7140469735814,550.885969846889,-24886.3787248816,1
17120,35,33,606,9.74800264969573,4.89279003035213,0.33,70.3132573377742,689.706383692942,-11198.4122658182,0
22526,28,41,681,10.0224254766076,4.21441993929574,0.41,75.7764946104892,726.262661911127,-13252.3763473542,0
27327,18,30,1018,10.2156305034129,2.70926996097583,0.3,97.8970397714583,649.271420592516,-24509.0453291652,0
16727,18,43,128,9.72477945931201,2.70926996097583,0.43,25.3101264635145,967.599647840139,1735.09848893355,1
25751,27,41,675,10.1562287402893,4.29409129247696,0.41,75.3482650959784,760.753648370208,-12896.8140877822,0
26180,28,53,716,10.1727510394639,4.21441993929574,0.53,78.2460985331171,748.115253696489,-14209.4558937011,0
18215,23,44,595,9.81000070944266,3.46184495013578,0.44,69.4906299751166,717.998517479672,-10746.2970911041,0
4694,33,29,687,8.45404037641097,5.24833380191629,0.29,76.2032719870714,369.519949497917,-15086.4988363931,0
31471,27,23,954,10.3568217658485,4.29409129247696,0.23,93.946170580483,698.183513836879,-22089.2672038489,0
27736,19,55,934,10.2304864873649,2.85978495880782,0.55,92.690513293103,683.752455706405,-21515.8187288319,0
11594,26,22,298,9.35824300189968,3.91338994363176,0.22,44.3708841892559,761.654900193926,-2673.96494185617,0
8195,30,40,445,9.01127949117793,4.51544993495972,0.4,57.6157105256414,602.450934053881,-7092.74075079624,0
7857,19,56,356,8.96916013317582,2.85978495880782,0.56,49.8395641158136,650.273907486877,-4590.04171315706,0
19877,17,50,978,9.8973185633906,2.55875496314384,0.5,95.4395065802068,588.49340768273,-23467.4467668223,0
19551,28,23,700,9.88078171500049,4.21441993929574,0.23,77.1230559187379,683.993312445654,-14038.4915288682,0
23584,37,34,210,10.0683237949891,5.56905491978365,0.34,35.2332297746879,972.320020322095,265.481047516188,1
10028,36,52,942,9.21313645927818,5.41853992195166,0.52,93.1940202596359,427.947239917845,-23015.0740617418,0
12609,35,46,423,9.44216612367323,4.89279003035213,0.46,55.7530840910929,706.898768555838,-6029.57929934516,0
14892,30,50,755,9.60857943499261,4.51544993495972,0.5,80.9436580503466,596.142937190917,-16168.1045492943,0
11524,20,33,255,9.35218709620442,3.01029995663981,0.33,40.0538735166645,791.835800949124,-1568.11871480036,0
15191,35,49,515,9.62845842620766,4.89279003035213,0.49,63.3216011131363,704.180193121581,-8529.94345212437,0
16861,18,30,443,9.73275854177798,2.70926996097583,0.3,57.4478498523436,776.37634711071,-6234.89272276253,0
25326,23,27,342,10.1395868150106,3.46184495013578,0.27,48.5523304260724,922.189597092393,-2938.01338619477,1
12541,24,54,807,9.43675855582405,3.61235994796777,0.54,84.4579854346305,541.286872195431,-18076.8452992342,0
4629,34,38,178,8.44009614103127,5.11750992628768,0.38,31.5683464305313,635.467536297297,-663.175294013748,1
28488,26,29,256,10.2572382249576,3.91338994363176,0.29,40.1572224472031,998.687557697367,-566.972768739254,1
11187,34,48,374,9.32250766884693,5.11750992628768,0.48,51.4668432528009,704.363671753986,-4783.99934579062,0
7511,25,21,74,8.92412389168601,3.49485002168009,0.21,17.4252069261289,830.579505123079,1895.35711196244,1
32521,23,43,266,10.3896413134965,3.46184495013578,0.43,41.1825641640432,1028.32930479229,-637.754344247835,1
5611,29,44,456,8.63248423575097,4.36493493712773,0.44,58.5338661597641,517.724602384517,-7762.44138853806,0
26184,21,41,210,10.172903816181,3.33984878303764,0.41,35.2332297746879,1011.23719329289,453.655632569634,1
24433,29,24,384,10.1036899565488,4.36493493712773,0.24,52.3580845817674,885.15649174341,-4155.48483418666,1
8322,38,35,788,9.02665788954289,5.71956991761564,0.35,83.1843665739558,445.043012908734,-17914.9461731935,0
17083,19,44,211,9.74583909594706,2.85978495880782,0.44,35.3442920311087,911.432094269583,-69.3054735239595,1
10231,26,46,751,9.23317760587894,3.91338994363176,0.46,80.6695055828427,516.441451261605,-16419.8681554831,0
25271,17,31,440,10.137412772215,2.55875496314384,0.31,57.1955175467326,875.300017511955,-5666.35568548564,1
26437,20,48,678,10.1825198230802,3.01029995663981,0.48,75.5625624565073,773.727344890172,-12933.0121249871,0
20558,37,26,120,9.93100543857287,5.56905491978365,0.26,24.2314811416738,1005.21521188282,2063.30688944634,1
